id_transaksi,id_pelanggan,kategori,channel,kota,kuantitas,harga_satuan,diskon,total_nilai,tahun,bulan,tanggal,tanggal_transaksi
09c9b7ca,usr-0005,makanan,mobile,Palembang,7,145002.78,0.2883,722426.04,2024,1,2024-01-02,2024-01-02
8ad65300,usr-0021,otomotif,teller,Bandung,7,962611.21,0.1295,5865498.25,2024,7,2024-07-27,2024-07-27
bd6b2571,usr-0003,kesehatan,teller,Palembang,3,52198.17,0.161,131384.83,2024,7,2024-07-10,2024-07-10
da48bcd2,usr-0002,kesehatan,teller,Denpasar,9,490062.85,0.2765,3190993.18,2024,8,2024-08-26,2024-08-26
f25bc990,usr-0177,fashion,mobile,Jakarta,19,453734.05,0.0449,8233589.97,2024,2,2024-02-08,2024-02-08
6529aa6f,usr-0011,elektronik,web,Bandung,19,567252.0,0.0352,10398429.49,2024,8,2024-08-29,2024-08-29
ea59fc98,usr-0014,otomotif,atm,Palembang,9,1493778.31,0.2913,9527193.13,2024,6,2024-06-19,2024-06-19
e1982703,usr-0001,otomotif,mobile,Makassar,4,2025789.71,0.0981,7308100.61,2024,4,2024-04-08,2024-04-08
b87ba1c9,usr-0014,otomotif,web,Palembang,12,1274125.88,0.0977,13795607.54,2024,7,2024-07-17,2024-07-17
4476ee51,usr-0007,fashion,teller,Denpasar,17,248907.64,0.1273,3692652.66,2024,11,2024-11-27,2024-11-27
f87169d4,usr-0059,olahraga,atm,Medan,13,2486363.26,0.2215,25164254.87,2024,8,2024-08-23,2024-08-23
ecf74f04,usr-0004,otomotif,mobile,Denpasar,2,2271909.7,0.101,4084948.65,2024,4,2024-04-12,2024-04-12
72e7b6ea,usr-0198,olahraga,atm,Semarang,18,2343390.48,0.1376,36377978.02,2024,12,2024-12-03,2024-12-03
2db63b11,usr-0232,kesehatan,teller,Palembang,13,37162.04,0.0204,473240.6,2024,9,2024-09-27,2024-09-27
3eceb4ef,usr-0002,kesehatan,mobile,Denpasar,15,38799.84,0.0076,577579.29,2024,5,2024-05-26,2024-05-26
